ID	Source	Change	Target
NahuatlOmitlan0159	amo simi otitechontlasohtlaya	HON:NA, PERSON[OBJ]:3_PL, PERSON[SUBJ]:2_PL, TENSE:PRE_SIM, TYPE:AFF	simi niquintlasohtlah
NahuatlOmitlan0160	tlapixtoqueh	ASPECT:PFV, PERSON[SUBJ]:1_SI, PURPOSIVE:VET, TENSE:PAS_SIM	otitlapiyatoh
NahuatlOmitlan0161	niccochtia noconeu	PERSON[POSS]:NA, PERSON[SUBJ]:1_PL, PURPOSIVE:VET	ticcochtihtiueh conetl
NahuatlOmitlan0162	simi quitlasohtla	ASPECT:IPFV, HON:1, PERSON[OBJ]:1_PL, PERSON[SUBJ]:2_SI, TENSE:PAS_SIM, TYPE:NEG	amo simi otitechontlasohtlaya
NahuatlOmitlan0163	yeh amo oquinchihchiuato in tlaxcalmeh	MOOD:IMP, PERSON[OBJ]:3_SI, PERSON[POSS]:2_PL, PERSON[SUBJ]:2_PL, PURPOSIVE:NA, TENSE:PRE_SIM, TYPE:AFF	xicchihchiuacan nimotlaxcal
NahuatlOmitlan0164	yeh amo quixtihtoc iprimaria	PERSON[POSS]:2_SI, PERSON[SUBJ]:2_SI, TENSE:PAS_SIM, TYPE:AFF	teh otiquixtihtoya moprimaria
NahuatlOmitlan0165	nihnimi ic incalihtic	HON:1, PERSON[SUBJ]:2_PL, TENSE:FUT_SIM, TYPE:NEG	amo nonnihnintosqueh ic incalihtic 
NahuatlOmitlan0166	tinihnimi ic nocalihtic	ASPECT:PFV, HON:1, MOOD:INT, TENSE:PAS_SIM, TYPE:NEG	¿mox amo otonnihnin ic nocalihtic?
NahuatlOmitlan0167	itlacual itzcuintli simi chiyauac	ASPECT:IPFV, TENSE:PAS_SIM	itlacual itzcuintli ocatca simi chiyauac
NahuatlOmitlan0168	xicchihchiua motlaxcal	PERSON[POSS]:2_PL, PERSON[SUBJ]:2_PL	xicchihchiuacan nimotlaxcal
NahuatlOmitlan0169	simi mauiltia nomiston	ASPECT:PFV, PERSON[POSS]:1_PL, PERSON[SUBJ]:3_PL, TENSE:PAS_SIM	simi omauiltihqueh tomistouan
NahuatlOmitlan0170	amo otinihnintoyah ic icalihtic	PERSON[POSS]:1_PL, PERSON[SUBJ]:2_PL, TYPE:AFF	onihnimiyah ic tocalihtic
NahuatlOmitlan0171	amo onihnin ic nimocalihtic	HON:1, PERSON[POSS]:3_PL, PERSON[SUBJ]:2_PL, TENSE:FUT_SIM	amo nonnihnintosqueh ic incalihtic 
NahuatlOmitlan0172	yeh oquinchihchiu in tlaxcalmeh	HON:1, PERSON[OBJ]:3_SI, PERSON[POSS]:2_SI, PERSON[SUBJ]:2_SI, TENSE:FUT_SIM	tehuatzin toconchihchiuas motlaxcaltzin
NahuatlOmitlan0173	"huan nimechiluia ""quema"""	PERSON[IOBJ]:3_PL, PERSON[SUBJ]:2_PL	"huan niquimiluiah ""quema"""
NahuatlOmitlan0174	yeh oquinchihchiu in tlaxcalmeh	MOOD:IMP, PERSON[OBJ]:3_SI, PERSON[POSS]:2_PL, PERSON[SUBJ]:2_PL, TENSE:PRE_SIM	xicchihchiuacan nimotlaxcal
NahuatlOmitlan0175	juan octzicuinaltico in yolcatl	PERSON[OBJ]:3_PL, PERSON[POSS]:3_SI, PURPOSIVE:NA, TYPE:NEG	juan amo oquintzicuinalteh iyolcauan
NahuatlOmitlan0176	occochteh iconeu	PERSON[POSS]:NA, PERSON[SUBJ]:1_PL, PURPOSIVE:VET, TENSE:PRE_SIM	ticcochtihtiueh conetl
NahuatlOmitlan0177	neh nicchichiua in tlaxcal	HON:1, PERSON[POSS]:2_SI, PERSON[SUBJ]:2_SI, TENSE:FUT_SIM	tehuatzin toconchihchiuas motlaxcaltzin
NahuatlOmitlan0178	tehuatzin toconchihchiuas motlaxcaltzin	HON:NA, MOOD:IMP, PERSON[POSS]:2_PL, PERSON[SUBJ]:2_PL, TENSE:PRE_SIM	xicchihchiuacan nimotlaxcal
NahuatlOmitlan0179	juan quitzicuinaltihtoc in yolcatl	ASPECT:PFV, PURPOSIVE:VET, TENSE:PAS_SIM	juan octzicuinaltito in yolcameh
NahuatlOmitlan0180	itlacual itzcuintli ocatca simi chiyauac	PERSON[POSS]:3_PL, TENSE:FUT_SIM, TYPE:NEG	intlacual itzcuimeh amo isqui simi chiyauac
NahuatlOmitlan0181	tehuatl amo otinechnextilito nin tlatzotzonal	PERSON[IOBJ]:NA, PERSON[OBJ]:NA, PERSON[SUBJ]:3_PL, PURPOSIVE:NA, TENSE:PRE_SIM, TRANSITIV:ITR, TYPE:AFF	tetlanextiliah
NahuatlOmitlan0182	yehuatl onechnextileh nin tlatzotzonal	PERSON[IOBJ]:NA, PERSON[OBJ]:NA, PERSON[SUBJ]:3_PL, TENSE:PRE_SIM, TRANSITIV:ITR	tetlanextiliah
NahuatlOmitlan0183	"huan oquilueh ""quema."""	PERSON[IOBJ]:3_PL, PERSON[SUBJ]:2_PL, TENSE:PRE_SIM	"huan niquimiluiah ""quema"""
NahuatlOmitlan0184	quicochtihtoc in conetl	ASPECT:PFV, PERSON[POSS]:3_SI, TENSE:PAS_SIM	occochteh iconeu
NahuatlOmitlan0185	nihnimi ic incalihtic	MOOD:COND, PERSON[POSS]:2_SI, PERSON[SUBJ]:3_PL, TYPE:NEG	amo nihnimisquiah ic mocalihtic
NahuatlOmitlan0186	in tlaxcal mochihchiua	ASPECT:PFV, PERSON[OBJ]:3_SI, PERSON[SUBJ]:2_SI, TENSE:PAS_SIM	teh oticchihchiu in tlaxcal
NahuatlOmitlan0187	onicpiyaya se yolcatl	PERSON[SUBJ]:3_SI, TENSE:PRE_SIM, TYPE:NEG	amo quipiya se yolcatl
NahuatlOmitlan0188	milauac uitseh	MOOD:IMP, PERSON[SUBJ]:3_SI	milauac xiuiqui
NahuatlOmitlan0189	"huan amo toconiluisquia ""quema"""	MOOD:NA, PERSON[IOBJ]:1_PL, PERSON[SUBJ]:2_PL, TENSE:PRE_SIM, TYPE:AFF	"huan titechoniluiah ""quemah"""
NahuatlOmitlan0190	amo otitlapixtoyah	PERSON[SUBJ]:3_PL, TENSE:PRE_SIM, TYPE:AFF	tlapixtoqueh
NahuatlOmitlan0191	neh nicchichiua in tlaxcal	MOOD:IMP, PERSON[POSS]:2_SI, PERSON[SUBJ]:2_SI	xicchihchiua motlaxcal
NahuatlOmitlan0192	tinihnimi ic nocalihtic	MOOD:COND, PERSON[POSS]:2_SI, PERSON[SUBJ]:3_PL, TYPE:NEG	amo nihnimisquiah ic mocalihtic
NahuatlOmitlan0193	¿mox amo otonnihnin ic nocalihtic?	ASPECT:IPFV, HON:NA, MOOD:NA, PERSON[POSS]:1_PL, PERSON[SUBJ]:2_PL, TYPE:AFF	onihnimiyah ic tocalihtic
NahuatlOmitlan0194	otontlapiyato	HON:NA, PERSON[SUBJ]:1_SI	otitlapiyatoh
NahuatlOmitlan0195	nimehuan quixtisquiah nimoprimaria	HON:1, MOOD:IMP, TENSE:PRE_SIM	xoconquixtican nimoprimaria
NahuatlOmitlan0196	simi quipactia	MOOD:COND, PERSON[OBJ]:1_SI, TYPE:NEG	amo simi nechpactisquia
NahuatlOmitlan0197	nitlapiyati	ASPECT:PFV, TENSE:PAS_SIM	otitlapiyatoh
NahuatlOmitlan0198	onicpiyaya se yolcatl	ASPECT:DUR, TENSE:PRE_SIM, TYPE:NEG	amo nicpixtoc se yolcatl
NahuatlOmitlan0199	onitlapiyacoh	PERSON[SUBJ]:1_SI, PURPOSIVE:VET	otitlapiyatoh
NahuatlOmitlan0200	nimehuan quixtisquiah nimoprimaria	ASPECT:DUR, MOOD:NA, PERSON[POSS]:2_SI, PERSON[SUBJ]:2_SI, TENSE:PAS_SIM	teh otiquixtihtoya moprimaria
NahuatlOmitlan0201	itlacual itzcuintli simi chiyauac	PERSON[POSS]:3_PL, TYPE:NEG	intlacual itzcuimeh amo simi chiyauac
NahuatlOmitlan0202	tehuatzin titechimonnextilitos ninqueh tlatzotzonalmeh	ASPECT:PFV, PERSON[OBJ]:3_PL, PERSON[SUBJ]:2_PL, TENSE:PAS_SIM, TYPE:NEG	nimehuantzitzin amo onoconnextilihqueh nin tlatzotzonal
NahuatlOmitlan0203	tlapixtoqueh	ASPECT:PFV, PERSON[SUBJ]:2_PL, PURPOSIVE:VEN, TENSE:PAS_SIM	onitlapiyacoh
NahuatlOmitlan0204	amo occochtito conetl	ASPECT:DUR, PERSON[OBJ]:3_PL, PERSON[POSS]:NA, TENSE:PRE_SIM, TYPE:AFF	quincochtihtoc coconeh
NahuatlOmitlan0205	in tlaxcal mochihchiua	ASPECT:PFV, PERSON[OBJ]:3_PL, PURPOSIVE:VET, TENSE:PAS_SIM, TYPE:NEG	yeh amo oquinchihchiuato in tlaxcalmeh
NahuatlOmitlan0206	"huan oquilueh ""quema."""	PERSON[IOBJ]:2_PL, PERSON[SUBJ]:1_SI, TENSE:PRE_SIM	"huan nimechiluia ""quema"""
NahuatlOmitlan0207	amo otitlapixtoyah	PERSON[SUBJ]:3_PL, PURPOSIVE:VET, TENSE:PRE_SIM, TYPE:AFF	tlapiyatiueh
NahuatlOmitlan0208	titzacuatiueh tochantzin	MOOD:IMP, PERSON[POSS]:1_SI, PERSON[SUBJ]:2_SI, PURPOSIVE:VEN, TENSE:PRE_SIM, TYPE:NEG	amo xictzacuaqui nochan
NahuatlOmitlan0209	onihnin ic nocalihtic	HON:1, MOOD:INT, PERSON[SUBJ]:2_SI, TYPE:NEG	¿mox amo otonnihnin ic nocalihtic?
NahuatlOmitlan0210	juan quintzicuinaltis in yolcameh	ASPECT:PFV, PERSON[OBJ]:3_SI, PURPOSIVE:VEN, TENSE:PAS_SIM	juan octzicuinaltico in yolcatl
NahuatlOmitlan0211	oquitzacu ichan	PERSON[POSS]:2_SI, PERSON[SUBJ]:1_PL, PURPOSIVE:VET, TENSE:FUT_SIM	titzacuatiueh tochantzin
NahuatlOmitlan0212	onicpiyaya se yolcatl	MOOD:COND, PERSON[SUBJ]:3_PL	ocpiyasquiah se yolcatl 
NahuatlOmitlan0213	amo onihnin ic nimocalihtic	ASPECT:IPFV, PERSON[POSS]:1_PL, PERSON[SUBJ]:2_PL, TYPE:AFF	onihnimiyah ic tocalihtic
NahuatlOmitlan0214	nihnimi ic incalihtic	PERSON[POSS]:1_SI, PERSON[SUBJ]:2_SI	tinihnimi ic nocalihtic
NahuatlOmitlan0215	oquincochtitoya iconeuan	PERSON[OBJ]:3_SI, PERSON[POSS]:NA, PERSON[SUBJ]:1_PL, PURPOSIVE:VET, TENSE:PRE_SIM	ticcochtihtiueh conetl
NahuatlOmitlan0216	yehuan otechnextilitoyah nin tlatzotzonal	PERSON[IOBJ]:NA, PERSON[OBJ]:NA, TENSE:PRE_SIM, TRANSITIV:ITR, ASPECT:NA	tetlanextiliah
NahuatlOmitlan0217	yeh amo oquinchihchiuato in tlaxcalmeh	MOOD:IMP, PERSON[OBJ]:3_SI, PERSON[POSS]:2_SI, PERSON[SUBJ]:2_SI, PURPOSIVE:NA, TENSE:PRE_SIM, TYPE:AFF	xicchihchiua motlaxcal
NahuatlOmitlan0218	nicpiya se yolcatl	ASPECT:PFV, HON:1, PERSON[SUBJ]:2_SI, TENSE:PAS_SIM, TYPE:NEG	amo otoconpix se yolcatl
NahuatlOmitlan0219	yehuatl onechnextileh nin tlatzotzonal	ASPECT:DUR, HON:1, PERSON[IOBJ]:3_SI, PERSON[OBJ]:1_PL, PERSON[SUBJ]:2_SI, TENSE:FUT_SIM	tehuatzin titechimonnextilitos ninqueh tlatzotzonalmeh
NahuatlOmitlan0220	nihnimi ic incalihtic	ASPECT:IPFV, PERSON[POSS]:1_PL, PERSON[SUBJ]:2_PL, TENSE:PAS_SIM	onihnimiyah ic tocalihtic
NahuatlOmitlan0221	neh onicquixteh noprimaria	ASPECT:DUR, PERSON[POSS]:3_SI, PERSON[SUBJ]:3_SI, TENSE:PRE_SIM, TYPE:NEG	yeh amo quixtihtoc iprimaria
NahuatlOmitlan0222	"huan amo toconiluisquia ""quema"""	MOOD:NA, PERSON[IOBJ]:2_PL, PERSON[SUBJ]:1_SI, TENSE:PRE_SIM, TYPE:AFF	"huan nimechiluia ""quema"""
NahuatlOmitlan0223	amo quipiya se yolcatl	MOOD:COND, PERSON[SUBJ]:3_PL, TYPE:AFF	ocpiyasquiah se yolcatl 
NahuatlOmitlan0224	onicpixqueh se yolcatl	PERSON[SUBJ]:3_SI, TENSE:PRE_SIM, TYPE:NEG	amo quipiya se yolcatl
NahuatlOmitlan0225	onicpixqueh se yolcatl	PERSON[SUBJ]:1_SI, TENSE:PRE_SIM	nicpiya se yolcatl
NahuatlOmitlan0226	nehuatl nimitznextilis nin tlatzotzonal	ASPECT:DUR, PERSON[IOBJ]:3_SI, PERSON[OBJ]:1_SI, PERSON[SUBJ]:2_SI, TENSE:PRE_SIM	tehuatl tinechnextilihtoc nin tlatzotzonal
NahuatlOmitlan0227	amo nonnihnintosqueh ic incalihtic 	HON:NA, MOOD:COND, PERSON[POSS]:2_SI, PERSON[SUBJ]:3_PL	amo nihnimisquiah ic mocalihtic
NahuatlOmitlan0228	yeh amo oquinchihchiuato in tlaxcalmeh	HON:1, PERSON[OBJ]:3_SI, PERSON[POSS]:2_SI, PERSON[SUBJ]:2_SI, PURPOSIVE:NA, TENSE:FUT_SIM, TYPE:AFF	tehuatzin toconchihchiuas motlaxcaltzin
NahuatlOmitlan0229	amo xictzacuacan nimochan	PERSON[POSS]:1_SI, PERSON[SUBJ]:2_SI, PURPOSIVE:VEN	amo xictzacuaqui nochan
NahuatlOmitlan0230	nicpiya se yolcatl	ASPECT:DUR, TYPE:NEG	amo nicpixtoc se yolcatl
NahuatlOmitlan0231	yeh amo quixtihtoc iprimaria	PERSON[POSS]:3_PL, PERSON[SUBJ]:3_PL, TENSE:FUT_SIM	yehuan amo quiquixtisqueh imprimaria
NahuatlOmitlan0232	itlacual itzcuintli simi chiyauac	PERSON[POSS]:3_PL, TENSE:FUT_SIM, TYPE:NEG	intlacual itzcuimeh amo isqui simi chiyauac
NahuatlOmitlan0233	nehuatl nimitznextilis nin tlatzotzonal	ASPECT:PFV, PERSON[IOBJ]:1_SI, PERSON[SUBJ]:2_SI, PURPOSIVE:VEN, TENSE:PAS_SIM, TYPE:NEG	tehuatl amo otinechnextilito nin tlatzotzonal
NahuatlOmitlan0234	simi nechtlasohtla	PERSON[OBJ]:3_PL, PERSON[SUBJ]:2_PL	simi niquintlasohtlah
NahuatlOmitlan0235	tocontzacuas mochantzin	HON:NA, MOOD:OPT, PERSON[OBJ]:NA, PERSON[POSS]:NA, PERSON[SUBJ]:3_PL, TENSE:PRE_SIM, TRANSITIV:ITR	matlatzacuacan
NahuatlOmitlan0236	nimehuan quixtisquiah nimoprimaria	ASPECT:PFV, HON:1, MOOD:NA, PERSON[POSS]:2_SI, PERSON[SUBJ]:2_SI, TENSE:PAS_SIM	tehuatzin otoconquixteh moprimaria
NahuatlOmitlan0237	tehuatzin toconchihchiuas motlaxcaltzin	PURPOSIVE:VEN, TENSE:PRE_SIM	tehuatzin toconchihchiuaqui motlaxcaltzin
NahuatlOmitlan0238	teh otiquixtihtoya moprimaria	HON:1, MOOD:IMP, PERSON[POSS]:2_PL, PERSON[SUBJ]:2_PL, TENSE:PRE_SIM	xoconquixtican nimoprimaria
NahuatlOmitlan0239	yehuan otechnextilitoyah nin tlatzotzonal	ASPECT:PFV, HON:1, PERSON[IOBJ]:3_SI, PERSON[OBJ]:3_PL, PERSON[SUBJ]:2_PL, TYPE:NEG	nimehuantzitzin amo onoconnextilihqueh nin tlatzotzonal
NahuatlOmitlan0240	yehuan amo quiquixtisqueh imprimaria	HON:1, MOOD:IMP, PERSON[POSS]:2_PL, PERSON[SUBJ]:2_PL, TENSE:PRE_SIM, TYPE:AFF	xoconquixtican nimoprimaria
NahuatlOmitlan0241	amo otinihnintoyah ic icalihtic	HON:1, PERSON[POSS]:3_PL, PERSON[SUBJ]:2_PL, TENSE:FUT_SIM	amo nonnihnintosqueh ic incalihtic 
NahuatlOmitlan0242	nehuatl nicnextilia nin tlatzotzonal	ASPECT:IPFV, PERSON[IOBJ]:1_PL, PERSON[SUBJ]:3_PL, TENSE:PAS_SIM	yehuan otechnextilitoyah nin tlatzotzonal
NahuatlOmitlan0243	yeh oquinchihchiu in tlaxcalmeh	PERSON[OBJ]:3_SI, PERSON[SUBJ]:1_SI, TENSE:PRE_SIM	neh nicchichiua in tlaxcal
NahuatlOmitlan0244	quicochtihtoc iconeu	HON:1, PERSON[OBJ]:3_PL, PERSON[POSS]:1_SI, PERSON[SUBJ]:2_SI	tocomoncochtia noconeuan
NahuatlOmitlan0245	juan quitzicuinaltia in yolcatl	ASPECT:PFV, PERSON[OBJ]:3_PL, PERSON[POSS]:3_SI, TENSE:PAS_SIM, TYPE:NEG	juan amo oquintzicuinalteh iyolcauan
NahuatlOmitlan0246	neh nicchichiua in tlaxcal	PERSON[POSS]:3_SI, PERSON[SUBJ]:3_SI, TENSE:FUT_SIM	quichihchiuas itlaxcal
NahuatlOmitlan0247	nehuatl nicnextilia nin tlatzotzonal	PERSON[SUBJ]:3_SI, TENSE:FUT_SIM, TYPE:NEG	yehuatl amo quinnexitilis nin tlatzotzonal
NahuatlOmitlan0248	quichihchiuas itlaxcal	MOOD:IMP, PERSON[POSS]:2_PL, PERSON[SUBJ]:2_PL, TENSE:PRE_SIM	xicchihchiuacan nimotlaxcal
NahuatlOmitlan0249	in tlaxcal mochihchiua	PERSON[OBJ]:3_SI, PERSON[SUBJ]:1_SI	neh nicchichiua in tlaxcal
NahuatlOmitlan0250	neh onicquixteh noprimaria	HON:1, PERSON[POSS]:2_SI, PERSON[SUBJ]:2_SI	tehuatzin otoconquixteh moprimaria
NahuatlOmitlan0251	onihnin ic nocalihtic	ASPECT:IPFV, PERSON[POSS]:3_SI, PERSON[SUBJ]:1_PL, TYPE:NEG	amo otinihnintoyah ic icalihtic
NahuatlOmitlan0252	neh onicquixteh noprimaria	ASPECT:DUR, PERSON[POSS]:2_SI, PERSON[SUBJ]:2_SI	teh otiquixtihtoya moprimaria
NahuatlOmitlan0253	in tlaxcal mochihchiua	MOOD:IMP, PERSON[OBJ]:3_SI, PERSON[POSS]:2_PL, PERSON[SUBJ]:2_PL	xicchihchiuacan nimotlaxcal
NahuatlOmitlan0254	amo simi otitechontlasohtlaya	HON:NA, PERSON[SUBJ]:2_PL, TENSE:PRE_SIM, TYPE:AFF	simi titechtlasohtlah
NahuatlOmitlan0255	amo occochtito conetl	PERSON[POSS]:NA, PERSON[SUBJ]:1_PL, PURPOSIVE:VET, TENSE:PRE_SIM, TYPE:AFF	ticcochtihtiueh conetl
NahuatlOmitlan0256	quicochtihtoc iconeu	ASPECT:PFV, TENSE:PAS_SIM	occochteh iconeu
NahuatlOmitlan0257	tehuatl amo otinechnextilito nin tlatzotzonal	ASPECT:DUR, HON:1, PERSON[IOBJ]:3_SI, PERSON[OBJ]:1_PL, PURPOSIVE:NA, TENSE:FUT_SIM, TYPE:AFF	tehuatzin titechimonnextilitos ninqueh tlatzotzonalmeh
NahuatlOmitlan0258	tetlanextiliah	ASPECT:DUR, PERSON[IOBJ]:3_SI, PERSON[OBJ]:1_SI, PERSON[SUBJ]:2_SI	tehuatl tinechnextilihtoc nin tlatzotzonal
NahuatlOmitlan0259	simi nechtlasohtla	HON:1, PERSON[OBJ]:3_SI, PERSON[SUBJ]:2_SI	simi tocontlasohtla
NahuatlOmitlan0260	amo otitlapixtoyah	ASPECT:PFV, PERSON[SUBJ]:2_PL, PURPOSIVE:VEN, TYPE:AFF	onitlapiyacoh
NahuatlOmitlan0261	onicpixqueh se yolcatl	ASPECT:DUR, PERSON[SUBJ]:1_SI, TENSE:PRE_SIM, TYPE:NEG	amo nicpixtoc se yolcatl
NahuatlOmitlan0262	nimehuantzitzin amo onoconnextilihqueh nin tlatzotzonal	ASPECT:DUR, HON:NA, PERSON[OBJ]:1_SI, PERSON[SUBJ]:2_SI, TENSE:PRE_SIM, TYPE:AFF	tehuatl tinechnextilihtoc nin tlatzotzonal
NahuatlOmitlan0263	¿mox amo otonnihnin ic nocalihtic?	HON:NA, MOOD:COND, PERSON[POSS]:2_SI, PERSON[SUBJ]:3_PL	amo nihnimisquiah ic mocalihtic
NahuatlOmitlan0264	nitlapiyati	ASPECT:DUR, PERSON[SUBJ]:3_PL, PURPOSIVE:NA	tlapixtoqueh
NahuatlOmitlan0265	nihnimisqueh ic tocalihtic	HON:1, PERSON[POSS]:3_PL, TYPE:NEG	amo nonnihnintosqueh ic incalihtic 
NahuatlOmitlan0266	"huan amo toconiluisquia ""quema"""	MOOD:NA, PERSON[IOBJ]:1_PL, PERSON[SUBJ]:3_PL, TENSE:FUT_SIM	"huan amo techiluisqueh ""quema"""
NahuatlOmitlan0267	in tlaxcal mochihchiua	HON:1, PERSON[OBJ]:3_SI, PERSON[POSS]:2_SI, PERSON[SUBJ]:2_SI, TENSE:FUT_SIM	tehuatzin toconchihchiuas motlaxcaltzin
NahuatlOmitlan0268	quicochtihtoc in conetl	PERSON[OBJ]:3_PL, PERSON[POSS]:3_SI, TENSE:PAS_SIM	oquincochtitoya iconeuan
NahuatlOmitlan0269	yeh oquinchihchiu in tlaxcalmeh	HON:1, PERSON[OBJ]:3_SI, PERSON[POSS]:2_SI, PERSON[SUBJ]:2_SI, PURPOSIVE:VEN, TENSE:PRE_SIM	tehuatzin toconchihchiuaqui motlaxcaltzin
NahuatlOmitlan0270	yehuan otechnextilitoyah nin tlatzotzonal	ASPECT:DUR, PERSON[IOBJ]:3_SI, PERSON[OBJ]:1_SI, PERSON[SUBJ]:2_SI, TENSE:PRE_SIM	tehuatl tinechnextilihtoc nin tlatzotzonal
NahuatlOmitlan0271	"huan amo techiluisqueh ""quema"""	PERSON[IOBJ]:3_PL, PERSON[SUBJ]:2_PL, TENSE:PRE_SIM, TYPE:AFF	"huan niquimiluiah ""quema"""
NahuatlOmitlan0272	simi tocontlasohtla	ASPECT:IPFV, PERSON[OBJ]:1_PL, TENSE:PAS_SIM, TYPE:NEG	amo simi otitechontlasohtlaya
NahuatlOmitlan0273	amo onihnin ic nimocalihtic	MOOD:COND, PERSON[POSS]:2_SI, PERSON[SUBJ]:3_PL	amo nihnimisquiah ic mocalihtic
NahuatlOmitlan0274	"huan amo toconiluisquia ""quema"""	MOOD:OPT, PERSON[IOBJ]:3_PL, PERSON[SUBJ]:3_PL, TYPE:AFF	"huan maquimiluican ""quema"""
NahuatlOmitlan0275	neh onicquixteh noprimaria	MOOD:COND, PERSON[POSS]:2_PL, PERSON[SUBJ]:2_PL	nimehuan quixtisquiah nimoprimaria
NahuatlOmitlan0276	in tlaxcal mochihchiua	HON:1, PERSON[OBJ]:3_SI, PERSON[POSS]:2_SI, PERSON[SUBJ]:2_SI, PURPOSIVE:VEN	tehuatzin toconchihchiuaqui motlaxcaltzin
NahuatlOmitlan0277	ticpixtoqueh se yolcatl	PERSON[OBJ]:3_PL, TENSE:FUT_SIM	tiquimpiyasqueh siqui yolcameh
NahuatlOmitlan0278	onihnin ic nocalihtic	PERSON[POSS]:1_PL, PERSON[SUBJ]:2_PL, TENSE:FUT_SIM	nihnimisqueh ic tocalihtic
NahuatlOmitlan0279	amo nicpixtoc se yolcatl	ASPECT:PFV, HON:1, PERSON[SUBJ]:2_SI, TENSE:PAS_SIM	amo otoconpix se yolcatl
NahuatlOmitlan0280	amo otlatzacuqueh	PERSON[OBJ]:3_SI, PERSON[POSS]:1_SI, PERSON[SUBJ]:1_SI, TENSE:PRE_SIM, TYPE:AFF	nictzacua nochan
NahuatlOmitlan0281	tocontzacuas mochantzin	ASPECT:PFV, HON:NA, PERSON[OBJ]:NA, PERSON[POSS]:NA, PERSON[SUBJ]:3_PL, TENSE:PAS_SIM, TRANSITIV:ITR, TYPE:NEG	amo otlatzacuqueh
NahuatlOmitlan0282	amo otlatzacuqueh	MOOD:OPT, TENSE:PRE_SIM, TYPE:AFF	matlatzacuacan
NahuatlOmitlan0283	nihnimisqueh ic tocalihtic	ASPECT:IPFV, PERSON[POSS]:3_SI, PERSON[SUBJ]:1_PL, TENSE:PAS_SIM, TYPE:NEG	amo otinihnintoyah ic icalihtic
NahuatlOmitlan0284	"huan nimechiluia ""quema"""	PERSON[IOBJ]:1_PL, PERSON[SUBJ]:2_PL	"huan titechoniluiah ""quemah"""
NahuatlOmitlan0285	yehuatl onechnextileh nin tlatzotzonal	PERSON[IOBJ]:3_SI, TENSE:FUT_SIM, TYPE:NEG	yehuatl amo quinnexitilis nin tlatzotzonal
NahuatlOmitlan0286	yeh oquinchihchiu in tlaxcalmeh	PERSON[OBJ]:3_SI, PERSON[SUBJ]:2_SI	teh oticchihchiu in tlaxcal
NahuatlOmitlan0287	amo simi onechpactaya	PERSON[OBJ]:2_SI, PERSON[SUBJ]:3_PL, TENSE:PRE_SIM, TYPE:AFF	simi mitzpactiah
NahuatlOmitlan0288	amo xictzacuaqui nochan	MOOD:NA, PERSON[SUBJ]:1_SI, PURPOSIVE:NA, TYPE:AFF	nictzacua nochan
NahuatlOmitlan0289	yehuatl onechnextileh nin tlatzotzonal	PERSON[IOBJ]:2_SI, PERSON[SUBJ]:1_SI, TENSE:FUT_SIM	nehuatl nimitznextilis nin tlatzotzonal
NahuatlOmitlan0290	juan quintzicuinaltis in yolcameh	ASPECT:PFV, PERSON[OBJ]:3_SI, PURPOSIVE:VET, TENSE:PAS_SIM	juan octzicuinaltito in yolcameh
NahuatlOmitlan0291	tinihnimi ic nocalihtic	ASPECT:IPFV, PERSON[POSS]:3_SI, PERSON[SUBJ]:1_PL, TENSE:PAS_SIM, TYPE:NEG	amo otinihnintoyah ic icalihtic
NahuatlOmitlan0292	simi omitzpacteh	PERSON[OBJ]:3_SI, PERSON[SUBJ]:3_PL	simi ocpactihqueh
NahuatlOmitlan0293	teh oticchihchiu in tlaxcal	MOOD:IMP, PERSON[POSS]:2_SI, TENSE:PRE_SIM	xicchihchiua motlaxcal
NahuatlOmitlan0294	neh nicchichiua in tlaxcal	ASPECT:PFV, PERSON[SUBJ]:2_SI, TENSE:PAS_SIM	teh oticchihchiu in tlaxcal
NahuatlOmitlan0295	nihnimi ic incalihtic	ASPECT:PFV, PERSON[POSS]:2_PL, PERSON[SUBJ]:3_SI, TENSE:PAS_SIM, TYPE:NEG	amo onihnin ic nimocalihtic
NahuatlOmitlan0296	teh oticchihchiu in tlaxcal	HON:1, PERSON[POSS]:2_SI, TENSE:FUT_SIM	tehuatzin toconchihchiuas motlaxcaltzin
NahuatlOmitlan0297	quincochtihtoc coconeh	HON:1, PERSON[POSS]:1_SI, PERSON[SUBJ]:2_SI	tocomoncochtia noconeuan
NahuatlOmitlan0298	yehuatl amo quinnexitilis nin tlatzotzonal	ASPECT:IPFV, PERSON[IOBJ]:1_PL, PERSON[SUBJ]:3_PL, TENSE:PAS_SIM, TYPE:AFF	yehuan otechnextilitoyah nin tlatzotzonal
NahuatlOmitlan0299	niccochtia noconeu	HON:1, PERSON[OBJ]:3_PL, PERSON[SUBJ]:2_SI	tocomoncochtia noconeuan
NahuatlOmitlan0300	yehuan otechnextilitoyah nin tlatzotzonal	ASPECT:DUR, HON:1, PERSON[IOBJ]:3_SI, PERSON[OBJ]:1_PL, PERSON[SUBJ]:2_SI, TENSE:FUT_SIM	tehuatzin titechimonnextilitos ninqueh tlatzotzonalmeh
NahuatlOmitlan0301	onihnin ic nocalihtic	PERSON[SUBJ]:2_SI, TENSE:PRE_SIM	tinihnimi ic nocalihtic
