Source,Change,Target
Tu'ux páanaderiyail ka maan,"ASPECT:BEG, TENSE:PAS_SIM",Tu'ux páanaderiyail ka maan bix tuux k'aan
Tu'ux páanaderiyail ka maan,ASPECT:DES,Tu'ux páanaderiyail ka maan in p'anaderiyail
Te'exe' áak'ab ka jóok'ole'ex k'íiwik,TYPE:NEG,Ma' j-áak'ab ka jóok'ole'ex k'íiwik
Te'exe' áak'ab ka jóok'ole'ex k'íiwik,SUBTYPE:INT,Te'exe' k'íiwik ka jóok'ole'ex áak'ab
Te'exe' áak'ab ka jóok'ole'ex k'íiwik,"TYPE:NEG, SUBTYPE:INT",Ma' joots'il ka táan u k'íiwik?
Kin bisikech tu najil xook,PERSON:2_SI,Tu bisikech tu najil xook
Kin bisikech tu najil xook,PERSON:3_SI,Tu bisikech tu najil xook
Jach k'a'abéet in máan tyeenda,TYPE:NEG,Ma' in k'a'abéet tyeenda
Jach k'a'abéet in máan tyeenda,SUBTYPE:INT,Ma' in máan tyeenda
Jach k'a'abéet in máan tyeenda,"TYPE:NEG, SUBTYPE:INT",Ma'alob k'a'abéet in máan tyeenda
Te'exe' táan a suute'ex óok'ot tu cha'anil u kaajil Tekax,TYPE:NEG,Te'exe' táan ma suute'ex óok'ot tu cha'anil u kaajil Tekax
Te'exe' táan a suute'ex óok'ot tu cha'anil u kaajil Tekax,SUBTYPE:INT,Te'exe' táan a suute'ex óok'ot tu cha'anil u kaajil Tekax
Te'exe' táan a suute'ex óok'ot tu cha'anil u kaajil Tekax,"TYPE:NEG, SUBTYPE:INT",Ma'áan u yáan a suute'ex óok'ot tu cha'anil u kaajil Tekax
Yaan in wisíinsik in walak' peek',ASPECT:OBL,Yaan in wisíinsik in walak' peek' k'ol
Yaan in wisíinsik in walak' peek',"ASPECT:IMM, TENSE:PAS_SIM",Yaan in wisíinsik in walak' peek' ya
Yaan in wisíinsik in walak' peek',"ASPECT:TER, TENSE:PAS_SIM",Yaan in wisíinsik in walak' peek' áant
Táan in bin maan Jo',PERSON:2_SI,Táan in bin maan Jo'
Táan in bin maan Jo',PERSON:3_SI,Táan in bin maan Jo'
Táan in bin maan Jo',PERSON:3_PL,Táan in bin maan Jo'
Táan in bin maan Jo',PERSON:2_PL,Táan in bin maan Jo'
Táan in bin maan Jo',PERSON:1_PL,Káaj in bin maan Jo'
Táan a suut Ticul,TYPE:NEG,Ma' táan a suut Ticul
Táan a suut Ticul,SUBTYPE:INT,Táan a suut Ticul - Is it the house of Ticul?
Táan a suut Ticul,"TYPE:NEG, SUBTYPE:INT",Ma' a suut Ticul?
Táan a p'o'ik a wotoch,TYPE:NEG,Ma' táan a p'o'ik a wotoch
Táan a p'o'ik a wotoch,SUBTYPE:INT,Táan a p'o'ik a wotoch?
Táan a p'o'ik a wotoch,"TYPE:NEG, SUBTYPE:INT",Ma' u k'a'aj a wotoch.
Táan wáaj a bin maan Jo',PERSON:1_SI,Táan wáaj a bin maan Jo'
Táan wáaj a bin maan Jo',PERSON:3_SI,Táan wáaj a bin maan Jo'
Táan wáaj a bin maan Jo',PERSON:3_PL,Táan wáaj a bin maan Jo'
Táan wáaj a bin maan Jo',PERSON:2_PL,Táan wáaj a bin maan Jo'
Táan wáaj a bin maan Jo',PERSON:1_PL,Táan wáaj a bin maan Jo'
Jach k'a'abéet u taal tu najil xook,TYPE:NEG,Ma' jach k'a'abéet u taal tu najil xook
Jach k'a'abéet u taal tu najil xook,SUBTYPE:INT,Jach k'a'abéet u taal tu najil xook
Jach k'a'abéet u taal tu najil xook,"TYPE:NEG, SUBTYPE:INT",Ma' xook k'a'abéet u taal tu najil?
Tene' ma' áak'ab kin jóok'ol tin meyaji',PERSON:2_SI,Tene' ma' áak'ab kin jóok'ol tin meyaji'
Tene' ma' áak'ab kin jóok'ol tin meyaji',PERSON:3_SI,Kéet' ma' áak'ab kin jóok'ol tin meyaji'
Tene' ma' áak'ab kin jóok'ol tin meyaji',PERSON:1_PL,Tene' ma' áak'ab kin jóok'ol tin meyaji'
Tene' ma' áak'ab kin jóok'ol tin meyaji',PERSON:2_PL,Tene' ma' áak'ab kin jóok'ol tin meyaji'
Tene' ma' áak'ab kin jóok'ol tin meyaji',PERSON:3_PL,Tene' ma' áak'ab kin jóok'ol tin meyaji'
Jach k'a'abéet in wuk'ul te' bejo',TYPE:NEG,Ma' k'a'abéet in wuk'ul te' bejo'
Jach k'a'abéet in wuk'ul te' bejo',SUBTYPE:INT,Jach k'a'abéet in wuk'ul te' bejo'
Jach k'a'abéet in wuk'ul te' bejo',"TYPE:NEG, SUBTYPE:INT",Ma' in wuk'ul te' bejo' jach k'a'abéet?
Ta bo'otaj a wotoch,TYPE:NEG,Ma bo'otaj a wotoch
Ta bo'otaj a wotoch,SUBTYPE:INT,Bo'otaj a wotoch ti' wotz'ik
Ta bo'otaj a wotoch,"TYPE:NEG, SUBTYPE:INT",Ma x-bo'otaj a wotoch?
Ma' ki'imak a wóol a xíimbal jáal ja'i',"TYPE:AFF, SUBTYPE:INT",Ma' ki'imak a wóol a xíimbal jáal ja'i'
Ma' ki'imak a wóol a xíimbal jáal ja'i',SUBTYPE:INT,Ma' ki'imak a wóol a xíimbal jáal ja'i'
Táan u jóok'olo'ob cha'an,TYPE:NEG,Ma' yaan u jóok'olo'ob cha'an.
Táan u jóok'olo'ob cha'an,SUBTYPE:INT,Ma'alob u jóok'olo'ob cha'an
Táan u jóok'olo'ob cha'an,"TYPE:NEG, SUBTYPE:INT",Ma' u jóok'olo'ob cha'an?
Jach k'a'abéet u taalo'ob tu cha'anil kaaj,SUBTYPE:INT,Jach k'a'abéet u taalo'ob tu cha'anil kaaj
Jach k'a'abéet u taalo'ob tu cha'anil kaaj,"TYPE:NEG, SUBTYPE:INT",Ma' xíiwik u taalo'ob tu cha'anil kaaj
Jach k'a'abéet u taalo'ob tu cha'anil kaaj,TYPE:NEG,Ma' jach k'a'abéet u taalo'ob tu cha'anil kaaj
Ichkíilnajen tu jáal ja',PERSON:2_SI,Ichkíilnajen tu jáal ja'
Ichkíilnajen tu jáal ja',PERSON:1_PL,Ichkíilnajen tu jáal ja'
Ichkíilnajen tu jáal ja',PERSON:2_PL,Ichkíilnajen tu jáal ja'
Ichkíilnajen tu jáal ja',PERSON:3_SI,Tu jáal ja' ichkíilnajen
Ichkíilnajen tu jáal ja',PERSON:3_PL,Ichkíilnajen tu jáal ja'
Táan u suut báaxal ja' tu kaajil Progreso,TYPE:NEG,Ma' táan u suut ma' báaxal ja' tu kaajil Progreso
Táan u suut báaxal ja' tu kaajil Progreso,SUBTYPE:INT,Táan u suut báaxal ja' tu kaajil Progreso
Táan u suut báaxal ja' tu kaajil Progreso,"TYPE:NEG, SUBTYPE:INT",Ma'alob u suut báaxal ja' tu kaajil Progreso?
Jach wáaj k'a'abéet a suut tu jo'ol a meyaj,PERSON:1_SI,Jach wáaj k'a'abéet a suut tu jo'ol a meyaj
Jach wáaj k'a'abéet a suut tu jo'ol a meyaj,PERSON:3_SI,Tu k'a'abéet a suut tu jo'ol a meyaj
Jach wáaj k'a'abéet a suut tu jo'ol a meyaj,PERSON:1_PL,Jach wáaj k'a'abéet a suut tu jo'ol a meyaj
Jach wáaj k'a'abéet a suut tu jo'ol a meyaj,PERSON:3_PL,Jach wáaj k'a'abéet a suut tu jo'ol a meyaj
Jach wáaj k'a'abéet a suut tu jo'ol a meyaj,PERSON:2_PL,Jach wáaj k'a'abéet a suut tu jo'ol a meyaj u k'abéetik
Ts'o'ok in bin janal Progreso,ASPECT:BEG,Ts'o'ok in bin janal Progreso yetel
Ts'o'ok in bin janal Progreso,ASPECT:IMM,Ts'o'ok in bin janal Progreso u k'aaba'al
Ba'ax k'iin a je'elel ta meyaj,PERSON:1_SI,Ba'ax k'iin a je'elel ta meyaj
Ba'ax k'iin a je'elel ta meyaj,PERSON:3_SI,Ba'ax k'iin a je'elel ta meyaj u yéetel
Ba'ax k'iin a je'elel ta meyaj,PERSON:2_PL,Ba'ax k'iin a je'elel ta meyaj tumej
Ba'ax k'iin a je'elel ta meyaj,PERSON:3_PL,Ba'ax k'iin a je'elel ta meyajob
